"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Abellaite","Abellaite","NaPb2(CO3)2(OH)","Na Pb C O H"
"Abelsonite","Abelsonite","NiC31H32N4","Ni C H N"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","Na Ce Si O P C S"
"Abernathyite","Abernathyite","K(UO2)(AsO4)·3H2O","K U O As H"
"Abhurite","Abhurite","Sn2+21O6(OH)14Cl16","Sn O H Cl"
"Abramovite","Abramovite","Pb2SnInBiS7","Pb Sn In Bi S"
"Abswurmbachite","Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Cu Mn O Si"
"Abuite","Abuite","CaAl2(PO4)2F2","Ca Al P O F"
"Acanthite","Acanthite","Ag2S","Ag S"
"Acetamide","Acetamide","CH3CONH2","C H O N"
"Achalaite","Achalaite","Fe2+TiNb2O8","Fe Ti Nb O"
"Achávalite","Achavalite","FeSe","Fe Se"
"Achyrophanite","Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","K Na Fe Ti Al Mg O As"
"Acmonidesite","Acmonidesite","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","N H K Pb Na Fe S O Cl"
"Actinolite","Actinolite","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","Ca Mg Fe Si O H"
"Acuminite","Acuminite","SrAlF4(OH)·H2O","Sr Al F O H"
"Adachiite","Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","Ca Fe Al Si O B H"
"Adamite","Adamite","Zn2(AsO4)(OH)","Zn As O H"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO3)2·6H2O","Na Y C O H"
"Adanite","Adanite","Pb2(Te4+O3)(SO4)","Pb Te O S"
"Addibischoffite","Addibischoffite","Ca2Al6Al6O20","Ca Al O"
"Adelite","Adelite","CaMg(AsO4)(OH)","Ca Mg As O H"
"Admontite","Admontite","MgB6O10·7H2O","Mg B O H"
"Adolfpateraite","Adolfpateraite","K(UO2)(SO4)(OH)(H2O)","K U O S H"
"Adranosite","Adranosite","(NH4)4NaAl2(SO4)4Cl(OH)2","N H Na Al S O Cl"
"Adranosite-(Fe)","Adranosite-(Fe)","(NH4)4NaFe2(SO4)4Cl(OH)2","N H Na Fe S O Cl"
"Adrianite","Adrianite","Ca12(Al4Mg3Si7)O32Cl6","Ca Al Mg Si O Cl"
"Aegirine","Aegirine","NaFe3+Si2O6","Na Fe Si O"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","Ca Na Fe Mg Si O"
"Aenigmatite","Aenigmatite","Na4[Fe2+10Ti2]O4[Si12O36]","Na Fe Ti O Si"
"Aerinite","Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","Ca Na Fe Mg Al Si O H C"
"Aerugite","Aerugite","Ni8.5(AsO4)2As5+O8","Ni As O"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","Ce Ca Fe Th Ti Nb O H"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","Nd Ln Ca Ti Nb O H"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","Y Ln Ca Th Ti Nb O H"
"Afghanite","Afghanite","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","Na K Ca Si Al O S Cl"
"Afmite","Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al O H P"
"Afwillite","Afwillite","Ca3[SiO4][SiO2(OH)2]·2H2O","Ca Si O H"
"Agaite","Agaite","Pb3Cu2+Te6+O5(OH)2(CO3)","Pb Cu Te O H C"
"Agakhanovite-(Y)","Agakhanovite-(Y)","YCa[box]2KBe3Si12O30","Y Ca K Be Si O"
"Agardite-(Ce)","Agardite-(Ce)","CeCu2+6(AsO4)3(OH)6·3H2O","Ce Cu As O H"
"Agardite-(La)","Agardite-(La)","LaCu2+6(AsO4)3(OH)6·3H2O","La Cu As O H"
"Agardite-(Nd)","Agardite-(Nd)","NdCu2+6(AsO4)3(OH)6·3H2O","Nd Cu As O H"
"Agardite-(Y)","Agardite-(Y)","YCu2+6(AsO4)3(OH)6·3H2O","Y Cu As O H"
"Agmantinite","Agmantinite","Ag2MnSnS4","Ag Mn Sn S"
"Agrellite","Agrellite","NaCa2Si4O10F","Na Ca Si O F"
"Agricolaite","Agricolaite","K4(UO2)(CO3)3","K U O C"
"Agrinierite","Agrinierite","K2Ca[(UO2)3O3(OH)2]2·5H2O","K Ca U O H"
"Aguilarite","Aguilarite","Ag4SeS","Ag Se S"
"Aheylite","Aheylite","Fe2+Al6(PO4)4(OH)8·4H2O","Fe Al P O H"
"Ahlfeldite","Ahlfeldite","Ni(SeO3)·2H2O","Ni Se O H"
"Ahrensite","Ahrensite","SiFe2O4","Si Fe O"
"Aikinite","Aikinite","CuPbBiS3","Cu Pb Bi S"
"Aiolosite","Aiolosite","Na2(Na2Bi)(SO4)3Cl","Na Bi S O Cl"
"Airdite","Airdite","Sr(V4+O)2(PO4)2·4H2O","Sr V O P H"
"Ajoite","Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","K Cu Al Si O H"
"Akaganeite","Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","Fe Ni O H Cl"
"Akaogiite","Akaogiite","TiO2","Ti O"
"Akatoreite","Akatoreite","Mn2+9Al2Si8O24(OH)8","Mn Al Si O H"
"Akdalaite","Akdalaite","Al10O14(OH)2","Al O H"
"Åkermanite","Akermanite","Ca2MgSi2O7","Ca Mg Si O"
"Akhtenskite","Akhtenskite","MnO2","Mn O"
"Akimotoite","Akimotoite","MgSiO3","Mg Si O"
"Aklimaite","Aklimaite","Ca4[Si2O5(OH)2](OH)4·5H2O","Ca Si O H"
"Akopovaite","Akopovaite","Al4Li2(OH)12(CO3)(H2O)3","Al Li O H C"
"Akrochordite","Akrochordite","Mn2+5(AsO4)2(OH)4·4H2O","Mn As O H"
"Aksaite","Aksaite","MgB6O7(OH)6·2H2O","Mg B O H"
"Aktashite","Aktashite","Cu6Hg3As4S12","Cu Hg As S"
"Alabandite","Alabandite","MnS","Mn S"
"Alacránite","Alacranite","As8S9","As S"
"Alamosite","Alamosite","PbSiO3","Pb Si O"
"Alarsite","Alarsite","Al(AsO4)","Al As O"
"Albertiniite","Albertiniite","Fe2+(SO3)·3H2O","Fe S O H"
"Albite","Albite","Na(AlSi3O8)","Na Al Si O"
"Albrechtschraufite","Albrechtschraufite","MgCa4F2[UO2(CO3)3]2·17-18H2O","Mg Ca F U O C H"
"Alburnite","Alburnite","Ag8GeTe2S4","Ag Ge Te S"
"Alcantarillaite","Alcantarillaite","[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7]","Fe H O Ca As W"
"Alcaparrosaite","Alcaparrosaite","K3Ti4+Fe3+(SO4)4O(H2O)2","K Ti Fe S O H"
"Aldermanite","Aldermanite","[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O","Mg H O Na Al P"
"Aldomarinoite","Aldomarinoite","Sr2Mn3+(AsO4)2(OH)","Sr Mn As O H"
"Aldridgeite","Aldridgeite","(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O","Cd Ca Cu Zn S O H"
"Aleksandrovite","Aleksandrovite","KCa7Sn2Li3Si12O36F2","K Ca Sn Li Si O F"
"Aleksite","Aleksite","PbBi2Te2S2","Pb Bi Te S"
"Aleutite","Aleutite","[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl","Cu O As V Cl"
"Alexkhomyakovite","Alexkhomyakovite","K6(Ca2Na)(CO3)5Cl·6H2O","K Ca Na C O Cl H"
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","Ce2Mn(CO3)(Si2O7)","Ce Mn C O Si"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","La2Mn(CO3)(Si2O7)","La Mn C O Si"
"Alflarsenite","Alflarsenite","NaCa2Be3Si4O13(OH)·2H2O","Na Ca Be Si O H"
"Alforsite","Alforsite","Ba5(PO4)3Cl","Ba P O Cl"
"Alfredopetrovite","Alfredopetrovite","Al2(Se4+O3)3·6H2O","Al Se O H"
"Alfredstelznerite","Alfredstelznerite","Ca4(H2O)4[B4O4(OH)6]4(H2O)15","Ca H O B"
"Algodonite","Algodonite","Cu1-xAsx (x ≈ 0.15)","Cu As"
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","Na2Sr2YCe(CO3)6·3H2O","Na Sr Y Ce C O H"
"Alicewilsonite-(YLa)","Alicewilsonite-(YLa)","Na2Sr2YLa(CO3)6·3H2O","Na Sr Y La C O H"
"Aliettite","Aliettite","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","Ca Mg Si Al O H"
"Allabogdanite","Allabogdanite","(Fe,Ni)2P","Fe Ni P"
"Allactite","Allactite","Mn2+7(AsO4)2(OH)8","Mn As O H"
"Allanite-(Ce)","Allanite-(Ce)","CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH)","Ca Ce Al Fe Si O H"
"Allanite-(La)","Allanite-(La)","CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH)","Ca La Al Fe Si O H"
"Allanite-(Nd)","Allanite-(Nd)","CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH)","Ca Nd Al Fe Si O H"
"Allanite-(Y)","Allanite-(Y)","CaY(Al2Fe2+)[Si2O7][SiO4]O(OH)","Ca Y Al Fe Si O H"
"Allanpringite","Allanpringite","Fe3+3(PO4)2(OH)3·5H2O","Fe P O H"
"Allantoin","Allantoin","C4H6N4O3","C H N O"
"Allargentum","Allargentum","Ag1-xSbx (x ≈ 0.09-0.16)","Ag Sb"
"Alleghanyite","Alleghanyite","Mn2+5(SiO4)2(OH)2","Mn Si O H"
"Allendeite","Allendeite","Sc4Zr3O12","Sc Zr O"
"Allochalcoselite","Allochalcoselite","Cu1+Cu2+5PbO2(SeO3)2Cl5","Cu Pb O Se Cl"
"Alloclasite","Alloclasite","CoAsS","Co As S"
"Allophane","Allophane","Al2O3(SiO2)1.3-2.0·2.5-3.0H2O","Al O Si H"
"Alloriite","Alloriite","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","Na K Ca Si Al O S C H Cl"
"Alluaivite","Alluaivite","Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O","Na Ca Mn Ti Nb Si O Cl H"
"Alluaudite","Alluaudite","[box]NaMnFe3+2(PO4)3","Na Mn Fe P O"
"Almandine","Almandine","Fe2+3Al2(SiO4)3","Fe Al Si O"
"Almarudite","Almarudite","K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30","K Na Mn Fe Mg Be Al Si O"
"Almeidaite","Almeidaite","PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2","Pb Zn Mn Y Ti Fe O H"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2","Ca Ce Na Al Si O H"
"Alpeite","Alpeite","Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6","Ca Mn Al Mg Si O V H"
"Alpersite","Alpersite","Mg(SO4)·7H2O","Mg S O H"
