Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Abellaite,Abellaite,NaPb_2_(CO_3_)_2_(OH),Na Pb C O H,https://www.mindat.org/search.php?search=Abellaite
Abelsonite,Abelsonite,NiC_31_H_32_N_4_,Ni C H N,https://www.mindat.org/search.php?search=Abelsonite
Abenakiite-(Ce),Abenakiite-(Ce),Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O,Na Ce Si O P C S,https://www.mindat.org/search.php?search=Abenakiite-(Ce)
Abernathyite,Abernathyite,K(UO_2_)(AsO_4_)·3H_2_O,K U O As H,https://www.mindat.org/search.php?search=Abernathyite
Abhurite,Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn O H Cl,https://www.mindat.org/search.php?search=Abhurite
Abramovite,Abramovite,Pb_2_SnInBiS_7_,Pb Sn In Bi S,https://www.mindat.org/search.php?search=Abramovite
Abswurmbachite,Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu Mn O Si,https://www.mindat.org/search.php?search=Abswurmbachite
Abuite,Abuite,CaAl_2_(PO_4_)_2_F_2_,Ca Al P O F,https://www.mindat.org/search.php?search=Abuite
Acanthite,Acanthite,Ag_2_S,Ag S,https://www.mindat.org/search.php?search=Acanthite
Acetamide,Acetamide,CH_3_CONH_2_,C H O N,https://www.mindat.org/search.php?search=Acetamide
Achalaite,Achalaite,Fe^2+^TiNb_2_O_8_,Fe Ti Nb O,https://www.mindat.org/search.php?search=Achalaite
Achávalite,Achavalite,FeSe,Fe Se,https://www.mindat.org/search.php?search=Achavalite
Achyrophanite,Achyrophanite,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_",K Na Fe Ti Al Mg O As,https://www.mindat.org/search.php?search=Achyrophanite
Acmonidesite,Acmonidesite,"(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_",N H K Pb Na Fe S O Cl,https://www.mindat.org/search.php?search=Acmonidesite
Actinolite,Actinolite,[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca Mg Fe Si O H,https://www.mindat.org/search.php?search=Actinolite
Acuminite,Acuminite,SrAlF_4_(OH)·H_2_O,Sr Al F O H,https://www.mindat.org/search.php?search=Acuminite
Adachiite,Adachiite,CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),Ca Fe Al Si O B H,https://www.mindat.org/search.php?search=Adachiite
Adamite,Adamite,Zn_2_(AsO_4_)(OH),Zn As O H,https://www.mindat.org/search.php?search=Adamite
Adamsite-(Y),Adamsite-(Y),NaY(CO_3_)_2_·6H_2_O,Na Y C O H,https://www.mindat.org/search.php?search=Adamsite-(Y)
Adanite,Adanite,Pb_2_(Te^4+^O_3_)(SO_4_),Pb Te O S,https://www.mindat.org/search.php?search=Adanite
Addibischoffite,Addibischoffite,Ca_2_Al_6_Al_6_O_20_,Ca Al O,https://www.mindat.org/search.php?search=Addibischoffite
Adelite,Adelite,CaMg(AsO_4_)(OH),Ca Mg As O H,https://www.mindat.org/search.php?search=Adelite
Admontite,Admontite,MgB_6_O_10_·7H_2_O,Mg B O H,https://www.mindat.org/search.php?search=Admontite
Adolfpateraite,Adolfpateraite,K(UO_2_)(SO_4_)(OH)(H_2_O),K U O S H,https://www.mindat.org/search.php?search=Adolfpateraite
Adranosite,Adranosite,(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_,N H Na Al S O Cl,https://www.mindat.org/search.php?search=Adranosite
Adranosite-(Fe),Adranosite-(Fe),(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_,N H Na Fe S O Cl,https://www.mindat.org/search.php?search=Adranosite-(Fe)
Adrianite,Adrianite,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca Al Mg Si O Cl,https://www.mindat.org/search.php?search=Adrianite
Aegirine,Aegirine,NaFe^3+^Si_2_O_6_,Na Fe Si O,https://www.mindat.org/search.php?search=Aegirine
Aegirine-augite,Aegirine-augite,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_",Ca Na Fe Mg Si O,https://www.mindat.org/search.php?search=Aegirine-augite
Aenigmatite,Aenigmatite,Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_],Na Fe Ti O Si,https://www.mindat.org/search.php?search=Aenigmatite
Aerinite,Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O",Ca Na Fe Mg Al Si O H C,https://www.mindat.org/search.php?search=Aerinite
Aerugite,Aerugite,Ni_8.5_(AsO_4_)_2_As^5+^O_8_,Ni As O,https://www.mindat.org/search.php?search=Aerugite
Aeschynite-(Ce),Aeschynite-(Ce),"(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_",Ce Ca Fe Th Ti Nb O H,https://www.mindat.org/search.php?search=Aeschynite-(Ce)
Aeschynite-(Nd),Aeschynite-(Nd),"(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_",Nd Ln Ca Ti Nb O H,https://www.mindat.org/search.php?search=Aeschynite-(Nd)
Aeschynite-(Y),Aeschynite-(Y),"(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_",Y Ln Ca Th Ti Nb O H,https://www.mindat.org/search.php?search=Aeschynite-(Y)
Afghanite,Afghanite,"(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_",Na K Ca Si Al O S Cl,https://www.mindat.org/search.php?search=Afghanite
Afmite,Afmite,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al O H P,https://www.mindat.org/search.php?search=Afmite
Afwillite,Afwillite,Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O,Ca Si O H,https://www.mindat.org/search.php?search=Afwillite
Agaite,Agaite,Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),Pb Cu Te O H C,https://www.mindat.org/search.php?search=Agaite
Agakhanovite-(Y),Agakhanovite-(Y),YCa[box]_2_KBe_3_Si_12_O_30_,Y Ca K Be Si O,https://www.mindat.org/search.php?search=Agakhanovite-(Y)
Agardite-(Ce),Agardite-(Ce),CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,Ce Cu As O H,https://www.mindat.org/search.php?search=Agardite-(Ce)
Agardite-(La),Agardite-(La),LaCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,La Cu As O H,https://www.mindat.org/search.php?search=Agardite-(La)
Agardite-(Nd),Agardite-(Nd),NdCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,Nd Cu As O H,https://www.mindat.org/search.php?search=Agardite-(Nd)
Agardite-(Y),Agardite-(Y),YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O,Y Cu As O H,https://www.mindat.org/search.php?search=Agardite-(Y)
Agmantinite,Agmantinite,Ag_2_MnSnS_4_,Ag Mn Sn S,https://www.mindat.org/search.php?search=Agmantinite
Agrellite,Agrellite,NaCa_2_Si_4_O_10_F,Na Ca Si O F,https://www.mindat.org/search.php?search=Agrellite
Agricolaite,Agricolaite,K_4_(UO_2_)(CO_3_)_3_,K U O C,https://www.mindat.org/search.php?search=Agricolaite
Agrinierite,Agrinierite,K_2_Ca[(UO_2_)_3_O_3_(OH)_2_]_2_·5H_2_O,K Ca U O H,https://www.mindat.org/search.php?search=Agrinierite
Aguilarite,Aguilarite,Ag_4_SeS,Ag Se S,https://www.mindat.org/search.php?search=Aguilarite
Aheylite,Aheylite,Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O,Fe Al P O H,https://www.mindat.org/search.php?search=Aheylite
Ahlfeldite,Ahlfeldite,Ni(SeO_3_)·2H_2_O,Ni Se O H,https://www.mindat.org/search.php?search=Ahlfeldite
Ahrensite,Ahrensite,SiFe_2_O_4_,Si Fe O,https://www.mindat.org/search.php?search=Ahrensite
Aikinite,Aikinite,CuPbBiS_3_,Cu Pb Bi S,https://www.mindat.org/search.php?search=Aikinite
Aiolosite,Aiolosite,Na_2_(Na_2_Bi)(SO_4_)_3_Cl,Na Bi S O Cl,https://www.mindat.org/search.php?search=Aiolosite
Airdite,Airdite,Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O,Sr V O P H,https://www.mindat.org/search.php?search=Airdite
Ajoite,Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,K Cu Al Si O H,https://www.mindat.org/search.php?search=Ajoite
Akaganeite,Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Fe Ni O H Cl,https://www.mindat.org/search.php?search=Akaganeite
Akaogiite,Akaogiite,TiO_2_,Ti O,https://www.mindat.org/search.php?search=Akaogiite
Akatoreite,Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Mn Al Si O H,https://www.mindat.org/search.php?search=Akatoreite
Akdalaite,Akdalaite,Al_10_O_14_(OH)_2_,Al O H,https://www.mindat.org/search.php?search=Akdalaite
Åkermanite,Akermanite,Ca_2_MgSi_2_O_7_,Ca Mg Si O,https://www.mindat.org/search.php?search=Akermanite
Akhtenskite,Akhtenskite,MnO_2_,Mn O,https://www.mindat.org/search.php?search=Akhtenskite
Akimotoite,Akimotoite,MgSiO_3_,Mg Si O,https://www.mindat.org/search.php?search=Akimotoite
Aklimaite,Aklimaite,Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O,Ca Si O H,https://www.mindat.org/search.php?search=Aklimaite
Akopovaite,Akopovaite,Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_,Al Li O H C,https://www.mindat.org/search.php?search=Akopovaite
Akrochordite,Akrochordite,Mn^2+^_5_(AsO_4_)_2_(OH)_4_·4H_2_O,Mn As O H,https://www.mindat.org/search.php?search=Akrochordite
Aksaite,Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,Mg B O H,https://www.mindat.org/search.php?search=Aksaite
Aktashite,Aktashite,Cu_6_Hg_3_As_4_S_12_,Cu Hg As S,https://www.mindat.org/search.php?search=Aktashite
Alabandite,Alabandite,MnS,Mn S,https://www.mindat.org/search.php?search=Alabandite
Alacránite,Alacranite,As_8_S_9_,As S,https://www.mindat.org/search.php?search=Alacranite
Alamosite,Alamosite,PbSiO_3_,Pb Si O,https://www.mindat.org/search.php?search=Alamosite
Alarsite,Alarsite,Al(AsO_4_),Al As O,https://www.mindat.org/search.php?search=Alarsite
Albertiniite,Albertiniite,Fe^2+^(SO_3_)·3H_2_O,Fe S O H,https://www.mindat.org/search.php?search=Albertiniite
Albite,Albite,Na(AlSi_3_O_8_),Na Al Si O,https://www.mindat.org/search.php?search=Albite
Albrechtschraufite,Albrechtschraufite,MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O,Mg Ca F U O C H,https://www.mindat.org/search.php?search=Albrechtschraufite
Alburnite,Alburnite,Ag_8_GeTe_2_S_4_,Ag Ge Te S,https://www.mindat.org/search.php?search=Alburnite
Alcantarillaite,Alcantarillaite,[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(AsO_4_)_2_O_7_],Fe H O Ca As W,https://www.mindat.org/search.php?search=Alcantarillaite
Alcaparrosaite,Alcaparrosaite,K_3_Ti^4+^Fe^3+^(SO_4_)_4_O(H_2_O)_2_,K Ti Fe S O H,https://www.mindat.org/search.php?search=Alcaparrosaite
Aldermanite,Aldermanite,[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O,Mg H O Na Al P,https://www.mindat.org/search.php?search=Aldermanite
Aldomarinoite,Aldomarinoite,Sr_2_Mn^3+^(AsO_4_)_2_(OH),Sr Mn As O H,https://www.mindat.org/search.php?search=Aldomarinoite
Aldridgeite,Aldridgeite,"(Cd,Ca)(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O",Cd Ca Cu Zn S O H,https://www.mindat.org/search.php?search=Aldridgeite
Aleksandrovite,Aleksandrovite,KCa_7_Sn_2_Li_3_Si_12_O_36_F_2_,K Ca Sn Li Si O F,https://www.mindat.org/search.php?search=Aleksandrovite
Aleksite,Aleksite,PbBi_2_Te_2_S_2_,Pb Bi Te S,https://www.mindat.org/search.php?search=Aleksite
Aleutite,Aleutite,[Cu_5_O_2_](AsO_4_)(VO_4_)·(Cu_0.5_[box]_0.5_)Cl,Cu O As V Cl,https://www.mindat.org/search.php?search=Aleutite
Alexkhomyakovite,Alexkhomyakovite,K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O,K Ca Na C O Cl H,https://www.mindat.org/search.php?search=Alexkhomyakovite
Alexkuznetsovite-(Ce),Alexkuznetsovite-(Ce),Ce_2_Mn(CO_3_)(Si_2_O_7_),Ce Mn C O Si,https://www.mindat.org/search.php?search=Alexkuznetsovite-(Ce)
Alexkuznetsovite-(La),Alexkuznetsovite-(La),La_2_Mn(CO_3_)(Si_2_O_7_),La Mn C O Si,https://www.mindat.org/search.php?search=Alexkuznetsovite-(La)
Alflarsenite,Alflarsenite,NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O,Na Ca Be Si O H,https://www.mindat.org/search.php?search=Alflarsenite
Alforsite,Alforsite,Ba_5_(PO_4_)_3_Cl,Ba P O Cl,https://www.mindat.org/search.php?search=Alforsite
Alfredopetrovite,Alfredopetrovite,Al_2_(Se^4+^O_3_)_3_·6H_2_O,Al Se O H,https://www.mindat.org/search.php?search=Alfredopetrovite
Alfredstelznerite,Alfredstelznerite,Ca_4_(H_2_O)_4_[B_4_O_4_(OH)_6_]_4_(H_2_O)_15_,Ca H O B,https://www.mindat.org/search.php?search=Alfredstelznerite
Algodonite,Algodonite,Cu_1-x_As_x_ (x ≈ 0.15),Cu As,https://www.mindat.org/search.php?search=Algodonite
Alicewilsonite-(YCe),Alicewilsonite-(YCe),Na_2_Sr_2_YCe(CO_3_)_6_·3H_2_O,Na Sr Y Ce C O H,https://www.mindat.org/search.php?search=Alicewilsonite-(YCe)
Alicewilsonite-(YLa),Alicewilsonite-(YLa),Na_2_Sr_2_YLa(CO_3_)_6_·3H_2_O,Na Sr Y La C O H,https://www.mindat.org/search.php?search=Alicewilsonite-(YLa)
Aliettite,Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Ca Mg Si Al O H,https://www.mindat.org/search.php?search=Aliettite
Allabogdanite,Allabogdanite,"(Fe,Ni)_2_P",Fe Ni P,https://www.mindat.org/search.php?search=Allabogdanite
Allactite,Allactite,Mn^2+^_7_(AsO_4_)_2_(OH)_8_,Mn As O H,https://www.mindat.org/search.php?search=Allactite
Allanite-(Ce),Allanite-(Ce),CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH),Ca Ce Al Fe Si O H,https://www.mindat.org/search.php?search=Allanite-(Ce)
Allanite-(La),Allanite-(La),CaLa(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH),Ca La Al Fe Si O H,https://www.mindat.org/search.php?search=Allanite-(La)
Allanite-(Nd),Allanite-(Nd),CaNd(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH),Ca Nd Al Fe Si O H,https://www.mindat.org/search.php?search=Allanite-(Nd)
Allanite-(Y),Allanite-(Y),CaY(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH),Ca Y Al Fe Si O H,https://www.mindat.org/search.php?search=Allanite-(Y)
Allanpringite,Allanpringite,Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O,Fe P O H,https://www.mindat.org/search.php?search=Allanpringite
Allantoin,Allantoin,C_4_H_6_N_4_O_3_,C H N O,https://www.mindat.org/search.php?search=Allantoin
Allargentum,Allargentum,Ag_1-x_Sb_x_ (x ≈ 0.09-0.16),Ag Sb,https://www.mindat.org/search.php?search=Allargentum
Alleghanyite,Alleghanyite,Mn^2+^_5_(SiO_4_)_2_(OH)_2_,Mn Si O H,https://www.mindat.org/search.php?search=Alleghanyite
Allendeite,Allendeite,Sc_4_Zr_3_O_12_,Sc Zr O,https://www.mindat.org/search.php?search=Allendeite
