"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Abellaite","Abellaite","NaPb_2_(CO_3_)_2_(OH)","Na Pb^2+ C O H"
"Abelsonite","Abelsonite","NiC_31_H_32_N_4_","Ni^2+ C H N"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O","Na Ce^3+ Si O P C^4+ S^4+"
"Abernathyite","Abernathyite","K(UO_2_)(AsO_4_)·3H_2_O","K U^6+ O As^5+ H"
"Abhurite","Abhurite","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn^2+ O H Cl"
"Abramovite","Abramovite","Pb_2_SnInBiS_7_","Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-"
"Abswurmbachite","Abswurmbachite","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu^2+ Mn^3+ O Si"
"Abuite","Abuite","CaAl_2_(PO_4_)_2_F_2_","Ca Al P O F"
"Acanthite","Acanthite","Ag_2_S","Ag^1+ S^2-"
"Acetamide","Acetamide","CH_3_CONH_2_","C H O N"
"Achalaite","Achalaite","Fe^2+^TiNb_2_O_8_","Fe^2+ Ti^4+ Nb^5+ O"
"Achávalite","Achavalite","FeSe","Fe Se"
"Achyrophanite","Achyrophanite","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_","K Na Fe^3+ Ti Al Mg O As^5+"
"Acmonidesite","Acmonidesite","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_","N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl"
"Actinolite","Actinolite","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca Mg Fe^2+ Si O H"
"Acuminite","Acuminite","SrAlF_4_(OH)·H_2_O","Sr Al F O H"
"Adachiite","Adachiite","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","Ca Fe^2+ Al Si O B H"
"Adamite","Adamite","Zn_2_(AsO_4_)(OH)","Zn^2+ As^5+ O H"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO_3_)_2_·6H_2_O","Na Y^3+ C O H"
"Adanite","Adanite","Pb_2_(Te^4+^O_3_)(SO_4_)","Pb^2+ Te^4+ O S^6+"
"Addibischoffite","Addibischoffite","Ca_2_Al_6_Al_6_O_20_","Ca Al O"
"Adelite","Adelite","CaMg(AsO_4_)(OH)","Ca Mg As^5+ O H"
"Admontite","Admontite","MgB_6_O_10_·7H_2_O","Mg B O H"
"Adolfpateraite","Adolfpateraite","K(UO_2_)(SO_4_)(OH)(H_2_O)","K U^6+ O S^6+ H"
"Adranosite","Adranosite","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_","N^3- H Na Al S^6+ O Cl"
"Adranosite-(Fe)","Adranosite-(Fe)","(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_","N^3- H Na Fe^3+ S^6+ O Cl"
"Adrianite","Adrianite","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca Al Mg Si O Cl"
"Aegirine","Aegirine","NaFe^3+^Si_2_O_6_","Na Fe^3+ Si O"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe^3+ Mg Fe^2+ Si O"
"Aenigmatite","Aenigmatite","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na Fe^2+ Ti^4+ O Si"
"Aerinite","Aerinite","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","Ca Na Fe^3+ Fe^2+ Mg Al Si O H C"
"Aerugite","Aerugite","Ni_8.5_(AsO_4_)_2_As^5+^O_8_","Ni^2+ As^5+ O"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_","Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","Y^3+ Ca Th^4+ Ti^4+ Nb^5+ O H"
"Afghanite","Afghanite","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","Na Ca Si Al O S^6+ Cl"
"Afmite","Afmite","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al O H P"
"Afwillite","Afwillite","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O","Ca Si O H"
"Agaite","Agaite","Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)","Pb^2+ Cu^2+ Te^6+ O H C"
"Agakhanovite-(Y)","Agakhanovite-(Y)","YCa[box]_2_KBe_3_Si_12_O_30_","Y^3+ Ca K Be Si O"
"Agardite-(Ce)","Agardite-(Ce)","CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Cu^2+ Ce^3+ As^5+ O H"
